root@comp3134-winter-2022-intro-to-cyber-security:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
09:00:52.703745 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 5956:5992, ack 1, win 501, options [nop,nop,TS val 3378194641 ecr 803564137], length 36
09:00:52.703798 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 5992:6196, ack 1, win 501, options [nop,nop,TS val 3378194641 ecr 803564137], length 204
09:00:52.719523 IP 99.253.10.247.51537 > 147.182.158.58.22: Flags [.], ack 6196, win 512, options [nop,nop,TS val 803564154 ecr 3378194641], length 0
09:00:52.719595 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 6196:7192, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 996
09:00:52.719762 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 7192:7380, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 188
09:00:52.719818 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 7380:7416, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 36
09:00:52.719878 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 7416:7620, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 204
09:00:52.719922 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 7620:7656, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 36
09:00:52.719996 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 7656:7860, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 204
09:00:52.720041 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 7860:7896, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 36
09:00:52.720104 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 7896:8100, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 204
09:00:52.720149 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 8100:8136, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 36
09:00:52.720202 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 8136:8340, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 204
09:00:52.720244 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 8340:8376, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 36
09:00:52.720297 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 8376:8580, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 204
09:00:52.720340 IP 147.182.158.58.22 > 99.253.10.247.51537: Flags [P.], seq 8580:8616, ack 1, win 501, options [nop,nop,TS val 3378194657 ecr 803564154], length 36
